Country,Daylight,Rank,Score,GDP/capita,Health,Freedom,Corruption,Generosity,Year,Social support,Region code,Region,Country code,Gender,Suicide rate,Low suicide rate,High suicide rate,Value,Mean suicide rate,Median suicide rate,Std suicide rate
New Zealand,1953.92,9,7.286,1.25018,0.90837,0.63938,0.42922,0.47501,2015,,WPR,Western Pacific,NZL,Male,16.37,14.33,18.62,16.37 [14.33 – 18.62],10.26013351134849,7.48,11.194969511733015
New Zealand,1953.92,9,7.286,1.25018,0.90837,0.63938,0.42922,0.47501,2015,,WPR,Western Pacific,NZL,Both sexes,11.13,9.64,12.78,11.13 [9.64 – 12.78],10.26013351134849,7.48,11.194969511733015
New Zealand,1953.92,9,7.286,1.25018,0.90837,0.63938,0.42922,0.47501,2015,,WPR,Western Pacific,NZL,Female,6.16,5.18,7.24,6.16 [5.18 – 7.24],10.26013351134849,7.48,11.194969511733015
Australia,2843.57,10,7.284,1.33358,0.93156,0.65124,0.35637,0.43562,2015,,WPR,Western Pacific,AUS,Male,17.74,15.73,19.85,17.74 [15.73 – 19.85],10.26013351134849,7.48,11.194969511733015
Australia,2843.57,10,7.284,1.33358,0.93156,0.65124,0.35637,0.43562,2015,,WPR,Western Pacific,AUS,Both sexes,11.81,10.37,13.32,11.81 [10.37 – 13.32],10.26013351134849,7.48,11.194969511733015
Australia,2843.57,10,7.284,1.33358,0.93156,0.65124,0.35637,0.43562,2015,,WPR,Western Pacific,AUS,Female,5.97,5.09,6.89,5.97 [5.09 – 6.89],10.26013351134849,7.48,11.194969511733015
Israel,3311.0,11,7.278,1.22857,0.91387,0.41319,0.07785,0.33172,2015,,EUR,Europe,ISR,Female,1.87,1.46,2.37,1.87 [1.46 – 2.37],10.26013351134849,7.48,11.194969511733015
Israel,3311.0,11,7.278,1.22857,0.91387,0.41319,0.07785,0.33172,2015,,EUR,Europe,ISR,Male,7.15,6.0,8.47,7.15 [6 – 8.47],10.26013351134849,7.48,11.194969511733015
Israel,3311.0,11,7.278,1.22857,0.91387,0.41319,0.07785,0.33172,2015,,EUR,Europe,ISR,Both sexes,4.45,3.67,5.34,4.45 [3.67 – 5.34],10.26013351134849,7.48,11.194969511733015
Costa Rica,,12,7.226,0.95578,0.86027,0.63376,0.10583,0.25497,2015,,AMR,Americas,CRI,Female,2.18,1.65,2.79,2.18 [1.65 – 2.79],10.26013351134849,7.48,11.194969511733015
